session_id,total_time_min_scaled,pieces_started_scaled,completion_depth_avg_scaled,complementary_interactions_scaled,thematic_diversity_scaled,pause_count_scaled,moment_of_activity_afternoon,moment_of_activity_evening,moment_of_activity_late_night,moment_of_activity_morning,device_type_desktop,device_type_mobile,device_type_tablet,used_recommendations
S0001,-0.22922285673267942,-0.11162278230235569,0.6179597590601311,-0.33552176966792735,-0.4890287458753134,-0.6876095653675964,0,0,0,1,0,1,0,1
S0002,-0.9157885969228532,-0.651733019249238,-1.0426397887417176,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,1,0,0,0,0,0,1,1
S0003,-0.029199767070975265,1.8687814198362125,-0.8844874508558271,-0.840065784206164,0.6698071448244814,2.483533703045608,0,1,0,0,0,0,1,0
S0004,-0.14272638552761807,1.8687814198362125,-0.5330378111094042,-0.840065784206164,2.214921665757541,0.10517625173570465,0,1,0,0,0,0,1,1
S0005,0.3221921471995861,2.228854911134134,-0.7966250409192214,-0.840065784206164,1.4423644052910112,1.6907478859423068,1,0,0,0,0,1,0,1
S0006,-0.26165903343457725,-0.29165952795131644,0.12300151641725215,-0.840065784206164,-0.4890287458753134,0.10517625173570465,0,1,0,0,0,1,0,0
S0007,-0.7752318312146286,-0.651733019249238,0.48030865015944874,-0.5877937769370456,-0.10275011564204847,0.10517625173570465,0,1,0,0,0,1,0,0
S0008,-0.15353844442825068,1.508707928538291,-1.0426397887417176,-1.0923377914752823,1.4423644052910112,0.8979620688390058,0,1,0,0,0,1,0,0
S0009,-1.0076910975782307,-1.0118065105471594,-0.740978847959371,0.6735662594085459,-0.4890287458753134,-0.6876095653675964,0,1,0,0,0,1,0,0
S0010,1.9223768644932195,-0.8317697648981988,1.7074536422740425,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,1,0,0,0,0,0,1,1
S0011,-0.6238630066057713,-0.29165952795131644,0.7614683619565874,-0.840065784206164,-0.10275011564204847,-0.6876095653675964,0,0,1,0,0,1,0,1
S0012,-0.9752549208763327,-1.0118065105471594,-1.0367822947459437,0.6735662594085459,-0.8753073761085783,-0.6876095653675964,0,0,0,1,0,1,0,1
S0013,-0.06704197322318953,2.228854911134134,-0.9196324148304694,-0.840065784206164,1.8286430355242762,1.6907478859423068,0,1,0,0,0,1,0,0
S0014,-0.9266006558234858,-0.651733019249238,-0.9957798367755277,1.1781102739467824,-0.8753073761085783,-0.6876095653675964,0,0,1,0,0,0,1,0
S0015,1.7223537748315152,-0.651733019249238,1.6928099072846081,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,1,0,0,0,0,0,1,1
S0016,-0.9428187441744348,-0.651733019249238,-0.9752786077903196,0.9258382666776641,-0.8753073761085783,-0.6876095653675964,0,1,0,0,0,1,0,0
S0017,-0.9968790386775981,-1.0118065105471594,-0.8844874508558271,0.42129425213942756,-0.4890287458753134,-0.6876095653675964,0,1,0,0,0,1,0,1
S0018,-0.48871227034786313,1.508707928538291,-0.7234063659720499,-1.0923377914752823,0.6698071448244814,0.8979620688390058,1,0,0,0,0,1,0,0
S0019,-0.19138065058046513,0.6085242002934873,-0.6941188959931813,-1.0923377914752823,1.4423644052910112,0.8979620688390058,1,0,0,0,0,1,0,0
S0020,1.354743772210005,-0.8317697648981988,1.5580875453818124,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0021,-0.7536077134133633,-0.4716962736002772,0.4861661441552225,-0.33552176966792735,-0.8753073761085783,0.10517625173570465,0,1,0,0,0,1,0,1
S0022,-0.48871227034786313,-0.651733019249238,-0.24016311132071833,-0.5877937769370456,-0.8753073761085783,-0.6876095653675964,0,1,0,0,0,1,0,1
S0023,-0.7698258017643124,-0.4716962736002772,0.18157645637498931,-0.840065784206164,-0.4890287458753134,-0.6876095653675964,0,1,0,0,0,1,0,1
S0024,-1.0833755098826594,-0.8317697648981988,-0.9518486318072249,1.1781102739467824,-0.8753073761085783,-0.6876095653675964,0,1,0,0,0,1,0,1
S0025,-1.1860900694386696,-0.651733019249238,-0.7995537879171082,0.6735662594085459,-0.8753073761085783,-0.6876095653675964,0,1,0,0,0,0,1,1
S0026,-0.14813241497793447,1.1486344372403696,-1.0016373307713013,-0.840065784206164,0.6698071448244814,2.483533703045608,1,0,0,0,0,1,0,1
S0027,-0.8887584496712715,-0.8317697648981988,-1.1100009696931152,-0.08324976239880906,-0.4890287458753134,-0.6876095653675964,0,0,0,1,0,0,1,1
S0028,-1.0347212448298124,-0.8317697648981988,-0.9694211137945461,-0.08324976239880906,-0.8753073761085783,-0.6876095653675964,0,0,0,1,1,0,0,1
S0029,-0.7265775661617816,-1.0118065105471594,-0.7468363419551448,0.42129425213942756,-0.8753073761085783,-0.6876095653675964,0,0,0,1,1,0,0,0
S0030,-1.1212177160348737,-0.651733019249238,-1.1100009696931152,0.42129425213942756,-0.4890287458753134,-0.6876095653675964,0,1,0,0,0,1,0,0
S0031,-0.6779233011089346,-0.29165952795131644,0.4480924331826935,-0.33552176966792735,-0.10275011564204847,0.10517625173570465,0,1,0,0,0,1,0,0
S0032,0.3384102355505352,1.508707928538291,-0.7761238119340134,-1.0923377914752823,1.0560857750577464,0.8979620688390058,0,1,0,0,0,1,0,1
S0033,-0.9914730092272819,-0.651733019249238,-0.9606348728008853,0.9258382666776641,-0.4890287458753134,-0.6876095653675964,1,0,0,0,0,1,0,1
S0034,-0.5860208004535571,-0.29165952795131644,0.3660875172418613,-0.5877937769370456,-0.10275011564204847,-0.6876095653675964,0,1,0,0,0,1,0,1
S0035,2.6684089286368726,-0.651733019249238,1.6400924613226449,1.9349262957541373,-0.8753073761085783,-0.6876095653675964,0,0,0,1,1,0,0,1
S0036,1.2682473010049438,-0.651733019249238,1.651807449314192,1.682654288485019,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0037,0.46815494235812716,2.0488181654851734,-0.7702663179382396,-0.840065784206164,1.4423644052910112,1.6907478859423068,0,1,0,0,0,1,0,0
S0038,0.29516199994800446,2.228854911134134,-0.8815587038579402,-1.0923377914752823,1.0560857750577464,0.10517625173570465,0,1,0,0,0,1,0,0
S0039,-0.7427956545127307,-0.651733019249238,0.6970359280030765,-0.840065784206164,-0.8753073761085783,-0.6876095653675964,0,0,0,1,0,1,0,1
S0040,1.5872030385736071,-0.8317697648981988,1.6576649433099657,2.187198303023256,-0.8753073761085783,-0.6876095653675964,0,0,0,1,1,0,0,0
S0041,-1.0130971270285472,-0.651733019249238,-0.6033277390586886,0.9258382666776641,-0.4890287458753134,-0.6876095653675964,0,0,1,0,1,0,0,1
S0042,-0.029199767070975265,1.508707928538291,-0.8464137398832979,-1.0923377914752823,1.4423644052910112,0.8979620688390058,1,0,0,0,0,1,0,0
S0043,-1.0725634509820265,-1.0118065105471594,-0.8991311858452614,0.9258382666776641,-0.4890287458753134,-0.6876095653675964,1,0,0,0,0,1,0,0
S0044,-0.7157655072611491,-0.29165952795131644,0.17864770937710242,-0.840065784206164,-0.8753073761085783,-0.6876095653675964,0,0,0,1,0,1,0,0
S0045,-0.7536077134133633,-0.29165952795131644,0.7848983379396821,-0.840065784206164,-0.4890287458753134,0.10517625173570465,0,1,0,0,0,1,0,0
S0046,1.5331427440704437,-0.4716962736002772,1.6049474973480025,2.187198303023256,-0.4890287458753134,-0.6876095653675964,0,0,0,1,0,0,1,1
S0047,1.3493377427596887,-0.651733019249238,1.4321514244726776,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0048,1.4466462728653828,-0.651733019249238,1.7220973772634767,1.1781102739467824,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0049,-0.26165903343457725,1.3286711828893303,-0.8376274988896374,-0.840065784206164,0.6698071448244814,0.10517625173570465,0,1,0,0,0,1,0,0
S0050,-0.5698027121026081,-0.29165952795131644,0.27236761330948195,-0.5877937769370456,-0.8753073761085783,0.10517625173570465,0,0,1,0,0,1,0,1
S0051,-0.17516256222951612,1.1486344372403696,-0.8346987518917506,-1.0923377914752823,1.4423644052910112,0.8979620688390058,0,1,0,0,0,1,0,0
S0052,0.10054493973661675,2.0488181654851734,-1.051426029735378,-0.840065784206164,1.4423644052910112,1.6907478859423068,1,0,0,0,0,1,0,0
S0053,-0.8130740373668429,-0.11162278230235569,-0.25187809931226574,-0.5877937769370456,-0.10275011564204847,-0.6876095653675964,0,0,1,0,0,1,0,1
S0054,-1.0563453626310777,-0.8317697648981988,-0.8727724628642797,0.16902224487030923,-0.8753073761085783,-0.6876095653675964,0,0,0,1,1,0,0,0
S0055,0.16001126369009624,1.6887446741872518,-0.9811361017860935,-0.840065784206164,1.4423644052910112,1.6907478859423068,1,0,0,0,0,0,1,0
S0056,-0.018387708170342455,1.1486344372403696,-1.051426029735378,-0.840065784206164,2.214921665757541,2.483533703045608,0,1,0,0,0,1,0,0
S0057,0.6843961203707803,-0.651733019249238,1.6225199793353233,1.4303822812159008,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0058,-0.05082388487224051,1.3286711828893303,-1.0397110417438307,-0.840065784206164,2.214921665757541,0.8979620688390058,1,0,0,0,0,1,0,1
S0059,1.873722599440373,-0.651733019249238,1.7601710882360058,0.6735662594085459,-0.4890287458753134,-0.6876095653675964,0,0,0,1,1,0,0,1
S0060,-0.9536308030750674,-0.651733019249238,-0.4363891601791378,-0.33552176966792735,-0.4890287458753134,-0.6876095653675964,0,0,1,0,0,1,0,0
S0061,-0.32653138683837335,2.0488181654851734,-0.8903449448516008,-0.840065784206164,1.4423644052910112,0.10517625173570465,0,1,0,0,0,1,0,1
S0062,0.03567258633282084,1.1486344372403696,-0.9049886798410351,-1.0923377914752823,0.6698071448244814,2.483533703045608,0,1,0,0,0,0,1,0
S0063,0.07892082193535131,1.508707928538291,-0.7614800769445791,-1.0923377914752823,0.6698071448244814,0.10517625173570465,1,0,0,0,0,1,0,0
